canonical_name,sect,gender,num_docs,year_min,year_max,origin_or_nisba_place
Abraham ha-Kohen b. Khalaf,Karaite (presumed),M,1,1030,1030,
Abu'l-Fadl,Karaite (presumed),M,1,1033,1033,
Abu'l-Hasan b. al-Jabawi,Karaite (presumed),M,1,1033,1033,
Adiya b. Menashe (al-Qazzaz),Karaite,M,1,,,
al-Tifrat bt. Tovya,Karaite (presumed),F,1,1080,1080,
Alan b. Nahum,Karaite (presumed),M,2,1045,1062,
Ama al-Aziz bt. Hizkiyahu,Karaite,F,1,1043,1043,
Ama al-Qadar bt. Efraim,Karaite (presumed),F,1,1045,1045,
Ama al-Wahid bt. Halfon,Karaite (presumed),F,1,1015,1015,
Amaryahu Jehuda (nasi),Karaite,M,1,1201,1201,
Amram al-Qirqisani,Karaite (presumed),M,1,1051,1051,Qirqisiya
Amram ha-Levi b. Joseph ha-Levi,Karaite (presumed),M,1,1201,1201,
Anan b. David,Karaite,M,0,,,
"Asa (nasi, father of Semah)",Karaite,M,0,,,
Azarya b. Salih,Karaite (presumed),M,1,1043,1043,
Azhar (father of Jabir),Karaite (presumed),M,1,1038,1038,
Babad ha-Kohen b. David,Karaite (presumed),M,1,1030,1030,
Bahiyya bt. Solomon b. Sa'adya,Karaite (probable),F,1,1055,1055,
Bahlul b. Isaac ha-Kohen,Karaite (presumed),M,1,1002,1002,
Barakat b. Azarya,Karaite (presumed),M,1,1064,1064,
Barakat b. Benjamin,Karaite (presumed),M,1,1030,1030,
Barakat b. David,Karaite (presumed),M,2,1063,1064,
Barakat b. Menahem ha-Kohen,Karaite (presumed),M,1,1045,1045,
Barakat b. Mubarak,Karaite (presumed),M,1,1030,1030,
"Benjamin (father of Hizkiyahu, OS39)",Karaite (presumed),M,1,1028,1028,
Benjamin b. Hasson,Karaite (presumed),M,1,1015,1015,
Berakha b. Rawh (Abu'l-Barakat),Karaite,M,1,1030,1030,
Bishr b. Abraham ha-Levi,Karaite (presumed),M,2,1015,1028,
Boaz b. Yehoshafat,Karaite,M,0,,,
Daniel b. Azarya (Gaon),Rabbanite,M,0,,,
Daniel b. Bundar,Karaite (presumed),M,1,1015,1015,
Daughter of Abu'l-Fadl,Karaite (presumed),F,1,1033,1033,
David (father of Barakat),Karaite (presumed),M,2,1063,1064,
"David (groom, OS44)",Karaite (presumed),M,1,1020,1020,
David al-Shulhani,Karaite (presumed),M,1,1006,1006,
David b. Amram ha-Levi (Abu'l-Hasan Da'ud b. al-Faraj Imran),Karaite,M,1,1033,1033,
David b. Boaz (nasi),Karaite,M,0,,,
David b. Daniel b. Azarya,Rabbanite,M,1,1088,1088,
David b. Hasdai (nasi),Karaite,M,1,1201,1201,
David b. Isaac b. Moses ha-Levi,Karaite (presumed),M,1,1045,1045,
David b. Isaac ha-Kohen (the scribe),Karaite (presumed),M,2,1006,1015,
David b. Isaac ha-Levi (Abu Nasr),Karaite,M,1,1035,1035,
David b. Josiah,Karaite,M,1,1055,1055,
David b. Moses (OS57),Karaite (presumed),M,1,1035,1035,
David b. Semah (nasi),Karaite,M,4,1041,1051,
David b. Shekhanya,Rabbanite,M,1,1038,1038,
David b. Solomon,Karaite (presumed),M,1,1002,1002,
David b. Yesha'ya ha-Melammed,Karaite (presumed),M,2,1045,1051,
David ha-Kohen b. Babad,unknown,M,1,1030,1030,
David ha-Kohen b. Sedaqa ha-Kohen,Karaite (presumed),M,1,1117,1117,
Efraim b. Jehuda,Karaite (presumed),M,1,1006,1006,
Efraim b. Mansur b. Furat,Karaite (presumed),M,1,1045,1045,
Efraim b. Mevasser b. Solomon,Karaite (presumed),M,1,1035,1035,
Efraim b. Moses,Karaite (presumed),M,1,1015,1015,
Efraim b. Sa'id b. Malachi,unknown,M,1,,,Ahwaz
Efraim b. Shemarya,Rabbanite,M,5,1030,1062,
Efraim b. Siba'a,Karaite,M,1,1004,1004,
El'azar b. Menashe,Karaite (presumed),M,1,1038,1038,
El'azar b. Samuel b. Sahl ha-Eved,Karaite,M,2,1062,1063,
El'azar b. Shemen Tov,Karaite (presumed),M,1,1201,1201,
Eli b. Amram (he-haver),Rabbanite,M,1,1055,1055,
Eli b. Ephraim,Rabbanite,M,1,1062,1062,
Eli b. Hillel,Karaite (presumed),M,1,1088,1088,
Eli b. Isma'il al-Bairuti (the scholar),Karaite (presumed),M,1,1015,1015,Beirut
Eli b. Mu'ammar,Karaite (presumed),M,2,1002,1028,
Eli b. Sahlawaya,Karaite,M,1,1038,1038,
Eli b. Solomon,Karaite (presumed),M,1,1015,1015,
Eli ha-Kohen b. Zita (Abu'l-Surri),Karaite,M,0,,,
Eli ha-Kohen ha-parnas b. Ya'ish,Rabbanite,M,1,1055,1055,
Eliyahu b. Halfon,Karaite (presumed),M,1,1201,1201,
Ezra b. Ishma'el b. Ezra,Karaite,M,1,1043,1043,
Fadla bt. Abraham,Karaite (presumed),F,1,1049,1049,
Faraj b. Mevasser ha-Levi,Karaite (presumed),M,1,1006,1006,
Faraj b. Solomon,Karaite (presumed),M,1,1037,1037,
Farajiyya bt. Jehuda,Karaite (presumed),F,1,1015,1015,
Faras bt. Simha,Karaite (presumed),F,1,1062,1062,
Ghaliya bt. Joseph,Karaite (presumed),F,1,1050,1050,
Habib b. David (Abu Ali),Karaite (presumed),M,1,1015,1015,
Halfon (father of Ama al-Wahid),Karaite (presumed),F,1,1015,1015,
Halfon b. Menashe,Rabbanite,M,1,1088,1088,
Halfon ha-Levi b. Daniel,Karaite (presumed),M,1,1015,1015,
Halfon ha-Levi b. Solomon,Rabbanite,M,1,1030,1030,
Hana bt. Israel al-Tustari,Karaite,F,1,,,Ahwaz
Hananya b. Elnathan,unknown,M,1,1062,1062,
Hasan (Yefet) b. Amram known as ben Shemun,Karaite (presumed),M,1,1015,1015,
Hasan b. Moses,Karaite,M,1,1035,1035,
Hasan b. Sedaqa ha-Kohen,Karaite (presumed),M,1,1063,1063,
Hasdai b. Hizkiyahu (nasi),Karaite,M,1,1117,1117,
Hasdai Emmanuel (nasi),Karaite,M,1,1201,1201,
Hayyim b. Sahlawaya,Karaite,M,1,1038,1038,
Hesed (Abu Nasr) b. Sahl al-Tustari,Karaite,M,1,1043,1043,Tustar (Shustar)
Hiba b. Khalaf al-Shinizi,Karaite (presumed),M,1,1002,1002,Shiniz
Hillel (the elder),Karaite (presumed),M,1,1015,1015,
Hillel b. Awkal,Rabbanite,M,1,1050,1050,
"Hizkiyahu (groom, OS12)",Karaite (presumed),M,1,1041,1041,
Hizkiyahu b. Benjamin,Karaite (presumed),M,1,1028,1028,
Hizkiyahu b. Solomon (nasi),Karaite,M,3,1043,1117,
"Husn (bride, OS44)",Karaite (presumed),F,1,1020,1020,
"Husn (bride, OS46)",Karaite (presumed),F,1,1050,1050,
Husn bt. David (OS41),Karaite (presumed),F,1,1015,1015,
Husn bt. Hayyim,Karaite (presumed),F,1,1038,1038,
Husn bt. Jacob b. Joseph,Karaite,F,1,,,
Isaac b. [...] (OS41),Karaite (presumed),M,1,1015,1015,
Isaac b. Eli,Karaite (presumed),M,1,1030,1030,
Isaac b. Eliya ha-Kohen,Karaite (presumed),M,1,1002,1002,
Isaac b. Jacob,Karaite (presumed),M,1,1002,1002,
Isaac b. Jehuda ha-Levi,Karaite (presumed),M,1,1035,1035,
"Isaac b. Joseph (groom, OS42)",Karaite (presumed),M,1,1050,1050,
Isaac b. Samuel al-Fara,Karaite (presumed),M,1,1002,1002,
Isaac b. Yefet,Karaite (presumed),M,1,1201,1201,
Isaac bar Azaryahu,Rabbanite (probable),M,1,1201,1201,
Isaac ha-Parnas b. Sedaqa,Karaite (presumed),M,1,1117,1117,
Israel b. Jacob al-Tustari,Karaite,M,0,,,Tustar (Shustar)
Israel b. Simha of Basra,Karaite,M,1,,,Basra
Israel b. Tammam [?],unknown,M,1,1055,1055,
Jabir b. Azhar ha-Kohen,Karaite (presumed),M,1,1038,1038,Tinnis
"Jacob (father of Abraham, OS23)",Karaite (presumed),M,1,1130,1130,
Jacob (father of Nisi),Karaite (presumed),M,1,1063,1063,
Jacob (father of Thabit),Karaite (presumed),M,1,1050,1050,
Jacob [...] (OS38),Karaite (presumed),M,1,1006,1006,
Jacob b. David al-Shulhani,Karaite (presumed),M,1,1006,1006,
Jacob b. Fadlan,Karaite (presumed),F,1,1028,1028,
Jacob b. Hillel b. Awkal,Rabbanite (probable),M,1,1050,1050,
Jacob b. Isaac,Karaite (presumed),M,1,1002,1002,
Jacob b. Joseph,Karaite (presumed),M,1,1063,1063,
Jacob b. Yesha'ya,Karaite (presumed),M,1,1040,1040,
Jehuda (father of Farajiyya),Karaite (presumed),F,1,1015,1015,
"Jehuda (groom, OS34)",Karaite (presumed),M,1,1050,1050,
Jehuda [?] (OS41),Karaite (presumed),M,1,1015,1015,
Jehuda b. Khalaf,Karaite (presumed),M,2,1037,1050,
Jehuda ha-Levi b. Nisi ha-Melammed,Karaite (presumed),M,1,1030,1030,
"Joseph (father of Isaac, OS42)",Karaite (presumed),M,1,1050,1050,
Joseph (father of Rivqa),Karaite (presumed),F,1,1201,1201,Byzantium (region)
Joseph [...] (OS38),Karaite (presumed),M,1,1006,1006,
Joseph b. [...] b. Efraim,Karaite (presumed),M,1,1045,1045,
Joseph b. Aaron ha-Levi,Karaite (presumed),M,1,1030,1030,
Joseph b. Abraham (father of Ghaliya),Karaite (presumed),F,1,1050,1050,
Joseph b. Abraham b. al-Fara,Karaite (presumed),M,1,1043,1043,
Joseph b. Abraham ha-Kohen,Karaite,M,1,1028,1028,
Joseph b. Azarya,Karaite (presumed),M,1,1063,1063,
Joseph b. Isaac,Karaite (presumed),M,1,1002,1002,
Joseph b. Israel al-Tustari,Karaite,M,1,,,Tustar (Shustar)
Joseph b. Jacob,Karaite (presumed),M,1,1002,1002,
Joseph b. Jehuda ha-Levi,Karaite (presumed),M,1,1030,1030,
Joseph b. Samuel,Karaite (presumed),M,1,1028,1028,
Joseph ha-Kohen b. Jacob,Rabbanite,M,1,1051,1051,
Joseph ibn Awkal,Rabbanite,M,2,1038,1050,
Joshya b. Saul,Karaite,M,0,,,
Josiah b. Solomon (nasi),Karaite,M,1,1055,1055,
Karima bt. Abraham,Karaite (presumed),F,1,1050,1050,
Karima bt. Hasan,Karaite,F,1,1035,1035,
"Khalaf (father of Jehuda, OS40)",Karaite (presumed),M,1,1037,1037,
Khalaf [...] (OS38),Karaite (presumed),M,1,1006,1006,
Khalaf b. Mahfuz,Karaite (presumed),M,1,1045,1045,
Khatabya b. al-Tabat,Karaite (presumed),M,1,1043,1043,
Levi ha-Levi bar Jacob,Rabbanite,M,1,1030,1030,
Levi ha-Levi bar Joseph,Rabbanite (probable),M,1,1020,1020,
Mahbub [?] (OS41),Karaite (presumed),M,1,1015,1015,
Mahfuz (father of Khalaf),Karaite (presumed),M,1,1045,1045,
Mahfuz b. Menahem,Karaite (presumed),M,1,1049,1049,
Maimon b. Fadl,Karaite (presumed),M,1,1015,1015,
Malka,Karaite (presumed),F,1,1020,1020,
"Mansur (father of groom, OS57)",Rabbanite,M,1,1035,1035,
Mansur b. Mevasser,Karaite (presumed),M,1,1051,1051,
Mansur b. Yehai b. Abu'l-Shahaba,Karaite (presumed),M,1,1015,1015,
Marzuq b. Yefet,Karaite (presumed),M,1,1062,1062,
Menahem (father of Mahfuz),Karaite (presumed),M,1,1049,1049,
Menahem b. Isaac,Karaite (presumed),M,1,1015,1015,
Menahem b. Job al-Halabi,Karaite (presumed),M,1,1006,1006,Aleppo
"Menashe (groom, OS33)",Karaite (presumed),M,1,1088,1088,
Menashe b. Mahbub ha-Levi (of Acre),Karaite (presumed),M,1,1002,1002,Acre
Menashe b. Siba'a,Karaite,M,1,1004,1004,
Menashe ibn al-Qazzaz,Karaite,M,1,,,
"Meshullam (groom, OS25)",Karaite (presumed),M,1,1040,1040,
Mevasser b. Abraham,Karaite (presumed),M,1,1015,1015,
Mevasser b. Sahl al-Ani,Karaite,M,1,1004,1004,Ana (Euphrates)
Mevasser b. Solomon,unknown,M,0,,,
Mevorakh b. Amram,Karaite,M,1,1033,1033,
Mevorakh b. Barhun,Karaite (presumed),M,1,1041,1041,
Mevorakh b. David,Karaite (presumed),M,1,1028,1028,
Mevorakh b. El'azar b. [...] Yehoshua,Karaite (presumed),M,1,1117,1117,
Mevorakh b. Israel (heir),unknown,M,1,1055,1055,
Mevorakh b. Nathan,Karaite (presumed),M,1,1015,1015,
Mevorakh b. Nathan b. Nisan,Karaite,M,1,1028,1028,
Mevorakh b. Samuel,Karaite (presumed),M,1,1015,1015,
Mevorakh b. Yefet,Karaite,M,1,1015,1015,
Mevorakh b. Yehya,Karaite (presumed),M,1,1050,1050,
Miriam bt. Solomon,Karaite (presumed),F,1,1037,1037,
Moses b. A[...],Karaite (presumed),M,1,1063,1063,
Moses b. Siba'a,Karaite,M,1,1035,1035,
Moses b. Yefet (Abu Imran),Karaite (presumed),M,1,1088,1088,
Moses ha-Kohen b. Aaron,Karaite,M,1,1088,1088,
Mu'ammala bt. Hayyim,Karaite (presumed),F,1,1002,1002,
Mu'ammala bt. Samuel (al-Qazzaz),Karaite,F,1,1038,1038,
Mu'ammar b. S[edaqa],Karaite (presumed),M,1,1035,1035,
Mubarak b. Husain,Karaite (presumed),M,1,1015,1015,
"Mubaraka (bride, OS28)",Karaite (presumed),F,1,1050,1050,
Mubaraka bt. [...],Karaite (presumed),F,1,1030,1030,
Musafir b. Isaac ha-Kohen,Karaite (presumed),M,1,1015,1015,
Na'ama bt. Nisi,Karaite (presumed),F,2,1063,1064,
Nahray b. Nissim,Rabbanite,M,1,1055,1055,
Nahum b. Nahum,Karaite (presumed),M,2,1045,1045,
Nasiya bt. Moses ha-Kohen,Karaite,F,1,1088,1088,
Nathan b. [...],Karaite (presumed),M,1,1038,1038,
Nathan b. Abraham (Gaon),Rabbanite,M,1,1030,1030,
Nathan b. Joseph b. Nahorai,Karaite (presumed),M,1,1117,1117,
Nathan b. Nisan ha-Levi (the scholar),Karaite (presumed),M,1,1028,1028,
Nathan ha-Kohen bar Yehai,Rabbanite (probable),M,1,1028,1028,
Nathana'el b. Mevasser ha-Levi,Karaite (presumed),M,1,1062,1062,
Nathana'el ha-Kohen b. Meshullam,Karaite (presumed),M,1,1201,1201,
Nathana'el ha-Levi b. Rawh,Karaite,M,1,1030,1030,
Nisi b. Jacob,Karaite (presumed),M,2,1063,1064,
Omar b. Yehoshua,Karaite (presumed),M,1,1028,1028,
Ovadya b. Sedaqa,Karaite (presumed),M,1,1080,1080,
Parhon b. Mevorakh ha-Levi,Karaite (presumed),M,1,1015,1015,
Rahma bt. Tammam,unknown,F,1,1055,1055,
Rav Hesed,Karaite (presumed),M,1,1038,1038,
"Rayyisa (bride, OS27)",Karaite (presumed),F,1,1050,1050,
Rayyisa bt. Sa'adya,Karaite,F,1,1117,1117,
Rayyisa bt. Tammam,unknown,F,1,1055,1055,
Rivqa bt. Joseph,Karaite (presumed),F,1,1201,1201,
Sa'adya b. David (father of Rayyisa),Karaite (presumed),M,1,1117,1117,
Sa'adya b. Joseph,Karaite (presumed),M,1,1002,1002,
Sa'adya b. Razi'el,Karaite (presumed),M,1,1062,1062,
Sa'id b. [...] (OS57),Karaite (presumed),M,1,1035,1035,
Sa'id b. Israel al-Tustari,Karaite,M,1,,,Tustar (Shustar)
Sa'id ha-Kohen b. Nahum,Karaite (presumed),M,1,1130,1130,
"Sahl (father of Sara, OS23)",Karaite (presumed),F,1,1130,1130,
Sahl (Yashar) b. Israel al-Tustari,Karaite,M,1,1043,1043,Tustar (Shustar)
Sahl al-Ani,Karaite,M,1,1004,1004,Ana (Euphrates)
Sahl b. Sa'adya al-Baghdadi,Karaite (presumed),M,1,1043,1043,Baghdad
Sahlawaya b. Hayyim,Karaite,M,3,1035,1038,
Samuel b. [...],Karaite (presumed),M,1,1051,1051,
Samuel b. Joseph al-Basri,Karaite (presumed),M,1,1030,1030,Basra
Samuel b. Menashe (al-Qazzaz),Karaite,M,1,1038,1038,
Samuel b. Sahl,Karaite,M,1,1063,1063,Khurasan
Samuel b. Yehuda (the orphan),unknown,M,1,1055,1055,
Samuel bar Rabbi Moses he-haver,Rabbanite,M,1,1051,1051,
Sar Shalom (nasi),Karaite,M,1,1201,1201,
Sara bt. Sahl,Karaite (presumed),F,1,1130,1130,
Sara bt. Sahlawaya,Karaite (presumed),F,1,1038,1038,
Sara bt. Yesha'ya,Karaite (presumed),F,1,1004,1004,
Sarwa bt. Sedaqa,Karaite (presumed),F,1,1028,1028,
Saul b. Abraham,Karaite (presumed),M,1,1062,1062,
Saul b. Anan,Karaite,M,0,,,
Sayyida bt. Wahb,Karaite (presumed),F,1,1006,1006,
"Sedaqa (groom, OS43)",Karaite (presumed),M,1,1030,1030,
Sedaqa b. Amram (Damascus),Karaite (probable),M,1,,,Damascus
Sedaqa b. Elun,Karaite (presumed),M,1,1041,1041,
Sedaqa b. Halfon b. Elun,Karaite (presumed),M,1,1080,1080,
Sedaqa b. Isaac,Karaite (presumed),M,1,1063,1063,
Sedaqa b. Jarir,Karaite (presumed),M,1,1028,1028,
Sedaqa b. Masliah b. Sahl ha-Levi,Karaite (presumed),M,1,1045,1045,
Sedaqa b. Menashe,Karaite (presumed),M,1,1062,1062,
Sedaqa b. Moses,Karaite (presumed),M,1,1030,1030,
Sedaqa b. Nahum ha-Kohen,Karaite,M,1,1035,1035,
Sedaqa b. Sa'adya,Karaite (presumed),M,1,1051,1051,
Sedaqa b. Zakharya,Karaite (presumed),M,1,1028,1028,
Sedaqa ha-Levi b. Efraim,Karaite (presumed),M,1,1117,1117,
Semah [...] (OS38),Karaite (presumed),M,1,1006,1006,
Semah b. Asa (nasi),Karaite,M,3,1036,1051,
Semah b. Joshya,Karaite,M,0,,,
Shala [?],Karaite (presumed),M,1,1015,1015,
Shela b. Amram al-Qirqisani,Karaite (probable),M,1,1051,1051,Qirqisiya
Shela b. Joseph,Karaite (presumed),M,1,1015,1015,
Shela ha-Kohen b. Sadoq beRabbi [...],Rabbanite (probable),M,1,1020,1020,
Shela ha-Kohen bar Rabbi Mevasser,Rabbanite,M,1,1015,1015,
Shemarya b. Shemen Tov,Karaite (presumed),M,1,1201,1201,
Shemen Tov b. Shemarya,Karaite (presumed),M,1,1201,1201,
Siba'a b. Moses,Karaite,M,1,1004,1004,
Simha (father of Faras),Karaite (presumed),F,1,1062,1062,
"Sitt-al-Ahl (bride, OS29)",Karaite (presumed),F,1,1015,1015,
Sitt-al-Ahl bt. Joseph,Karaite (presumed),F,1,1050,1050,
Sitt-al-Fadl,Karaite (presumed),F,1,1050,1050,
Sitt-al-Husn bt. Moses ha-Kohen,Karaite,F,1,1088,1088,
"Solomon (father of Miriam, OS40)",Karaite (presumed),F,1,1037,1037,
"Solomon b. [...] (agent, OS34)",Karaite (presumed),M,1,1050,1050,
Solomon b. Aaron al-Baghdadi,Karaite (probable),M,1,,,Baghdad
Solomon b. Adiya b. Menashe (al-Qazzaz),Karaite,M,1,1051,1051,
Solomon b. Amram (OS41),Karaite (presumed),M,1,1015,1015,
Solomon b. David (nasi),Karaite,M,3,1043,1063,
Solomon b. David b. Hasdai (nasi),Karaite,M,1,1201,1201,
Solomon b. David ha-Kohen (the scholar),Karaite (presumed),M,1,1028,1028,
Solomon b. Hayyim (Ramle),Karaite (presumed),M,1,1006,1006,
Solomon b. Jehuda (Gaon),Rabbanite,M,3,1030,1055,
Solomon b. Maimon,Karaite (presumed),M,1,1015,1015,
Solomon b. Mansur,Karaite (presumed),M,1,1015,1015,
Solomon b. Mevasser b. Sahl al-Ani,Karaite,M,1,1004,1004,Ana (Euphrates)
Solomon b. Musafir,unknown,M,1,1051,1051,
Solomon Yedidya (nasi),Karaite,M,1,,,
Tammam,unknown,M,1,1055,1055,
Thabit b. Jacob,Karaite (presumed),M,1,1050,1050,
Tov b. David (Abu'l-Tayyib),Karaite (probable),M,1,,,
Tovya (father of al-Tifrat),Karaite (presumed),F,1,1080,1080,
Tovya b. Moses,Karaite,M,1,1038,1038,Byzantium (region)
Umm Samuel bt. Aaron,unknown,F,1,1055,1055,
Wahb al-Arri [?],Karaite (presumed),M,1,1006,1006,
Yaman bt. David,Karaite (presumed),F,1,1051,1051,
Yedidya (nasi),Karaite,M,1,1081,1081,
Yefet (father of Marzuq),Karaite (presumed),M,1,1062,1062,
Yefet [b. ? Solomon b. Abraham],Karaite (presumed),M,1,1051,1051,
Yefet b. Abraham al-Tustari,Karaite,M,1,1043,1043,Tustar (Shustar)
Yefet b. Abraham ha-Levi,Karaite (presumed),M,1,1045,1045,
Yefet b. Jacob,Karaite (presumed),M,1,1063,1063,
Yefet b. Menashe,Karaite (presumed),M,1,1080,1080,
Yefet ha-Kohen b. Eli b. Zita,Karaite,M,2,1030,1035,
Yehai b. Eli ha-Kohen,Karaite (presumed),M,1,1015,1015,
Yehezqel b. Benjamin ha-Levi,Karaite (presumed),M,1,1063,1063,
Yehoshafat b. Joshya,Karaite,M,0,,,
Yehoshua b. Adiya ha-Kohen,Karaite (presumed),M,1,1028,1028,
Yehoshua b. Eli ha-Kohen b. Zita,Karaite,M,1,1028,1028,
Yehoshua b. Jehuda (Abu'l-Faraj Furqan ibn Asad),Karaite,M,1,1033,1033,
Yehoshua ha-Kohen b. Sedaqa ha-Kohen,Karaite (presumed),M,1,1117,1117,
Yehuda b. Tammam,unknown,M,1,1055,1055,
Yehuda ha-Kohen b. Joseph (ha-Rav),Rabbanite,M,1,1055,1055,
Yehya b. Abraham,Rabbanite,M,1,1117,1117,
Yesha'ya b. Isaac,Karaite (presumed),M,1,1015,1015,
Yesha'ya b. Sahl al-Ani,Karaite,M,1,1004,1004,Ana (Euphrates)
Yeshu'a b. Joseph (Alexandria),Rabbanite,M,1,1055,1055,Alexandria
Yeshu'a b. Khatim,Karaite (presumed),M,1,1015,1015,
Yeshu'a b. Thabit ha-Levi ha-Shulhani,Karaite (presumed),M,1,1015,1015,
Zakkai b. Yedidya,Karaite (probable),M,1,1081,1081,
